stateid,state,item,name,enLabel,gender,dob,dobPrecision,source,psid
Q1227,Nevada,Q16185594,Steve Sisolak,Steve Sisolak,male,1953-12-26T00:00:00Z,11,,Q16185594-7c27eb5f-4eee-a837-e1ff-57f7758c690b
Q759,New Hampshire,Q16215583,Chris Sununu,Chris Sununu,male,1974-11-05T00:00:00Z,11,,Q16215583-2be5d2c8-4ba5-ab9e-6799-1c43855815f9
Q1408,New Jersey,Q260042,Phil Murphy,Phil Murphy,male,1957-08-16T00:00:00Z,11,,Q260042-36bd02e2-4575-b91b-4d2b-dcc202969938
Q1522,New Mexico,Q3917203,Michelle Lujan Grisham,Michelle Lujan Grisham,female,1959-10-24T00:00:00Z,11,,q3917203-C470B416-DF1D-49D9-A805-56ECA24B59BE
Q1384,New York,Q11673,Andrew Cuomo,Andrew Cuomo,male,1957-12-06T00:00:00Z,11,,Q11673-13C32724-A658-41E1-864E-B190F2F41235
Q1454,North Carolina,Q7372694,Roy Cooper,Roy Cooper,male,1957-06-13T00:00:00Z,11,,Q7372694-4c46a49d-4721-33ca-1b49-5b4451933249
Q1207,North Dakota,Q22095395,Doug Burgum,Doug Burgum,male,1956-08-01T00:00:00Z,11,,Q22095395-e0509ac9-4724-2cbe-12e9-8847090bc917
Q16644,Northern Mariana Islands,Q21863882,Ralph Torres,Ralph Torres,male,1979-08-06T00:00:00Z,11,,Q21863882-37385035-4cc8-2c18-e807-10280bbe1501
Q1397,Ohio,Q1363468,Mike DeWine,Mike DeWine,male,1947-01-05T00:00:00Z,11,,Q1363468-a0b7b765-4f71-3f2c-3851-5ce184c3106b
Q1649,Oklahoma,Q58322517,Kevin Stitt,Kevin Stitt,male,1972-12-28T00:00:00Z,11,,Q58322517-83d8da6c-47c9-b607-da82-63c31ac17990
Q824,Oregon,Q6375399,Kate Brown,Kate Brown,female,1960-06-21T00:00:00Z,11,,Q6375399-3AF07028-E847-4987-9D81-9F471795F556
Q1400,Pennsylvania,Q7794795,Tom Wolf,Tom Wolf,male,1948-11-17T00:00:00Z,11,,Q7794795-D8F292DD-62BD-4216-AFDE-32E89A822964
Q1183,Puerto Rico,Q2277878,Pedro Pierluisi,Pedro Pierluisi,male,1959-04-26T00:00:00Z,11,,Q2277878-d796e268-47a8-dca4-03b2-00a8f7c3c9c8
Q1387,Rhode Island,Q5218111,Daniel McKee,Daniel McKee,male,1951-06-16T00:00:00Z,11,,Q5218111-f891f49d-4aa4-1546-b56f-86e4b3f2afc6
Q1456,South Carolina,Q5725737,Henry McMaster,Henry McMaster,male,1947-05-27T00:00:00Z,11,,Q5725737-bc947983-4fa7-1811-e322-a0203eaa657b
Q1211,South Dakota,Q465749,Kristi Noem,Kristi Noem,female,1971-11-30T00:00:00Z,11,,Q465749-6dbe6954-4537-2b29-e785-7dde45eb9233
Q1509,Tennessee,Q58321685,Bill Lee,Bill Lee,male,1959-10-09T00:00:00Z,11,,Q58321685-67c50c3b-4f9b-bbcf-a60d-286b4f384b55
Q1439,Texas,Q5605224,Greg Abbott,Greg Abbott,male,1957-11-13T00:00:00Z,11,,Q5605224-aae6907d-472b-4fac-6378-a37bfc37969b
Q11703,United States Virgin Islands,Q59302363,Albert Bryan Jr.,Albert Bryan Jr.,male,1968-02-21T00:00:00Z,11,,Q59302363-4e6c07ba-f8a3-4c20-a4aa-5bbfb21465ef
Q829,Utah,Q16208237,Spencer Cox,Spencer Cox,male,1975-07-11T00:00:00Z,11,,Q16208237-af25eeab-40b8-cb8f-5da5-de06b5244c37
Q16551,Vermont,Q7185808,Phil Scott,Phil Scott,male,1958-08-04T00:00:00Z,11,,Q7185808-05809132-486b-7f97-487d-9128a2c42798
Q1370,Virginia,Q7287916,Ralph Northam,Ralph Northam,male,1959-09-13T00:00:00Z,11,,Q7287916-6b476f8f-4587-6e2b-d1f7-d7870c129b06
Q1223,Washington,Q1100710,Jay Inslee,Jay Inslee,male,1951-02-09T00:00:00Z,11,,q1100710-8782B691-0947-425E-900E-4B76192A7C3F
Q1371,West Virginia,Q20684288,Jim Justice,Jim Justice,male,1951-04-27T00:00:00Z,11,,Q20684288-f36f7dcf-4165-41ac-3eda-b54b2786b036
Q1537,Wisconsin,Q7822309,Tony Evers,Tony Evers,male,1951-11-05T00:00:00Z,11,,Q7822309-1413f51c-4814-42e9-bf8c-8e498f8ec9cc
Q1214,Wyoming,Q6767775,Mark Gordon,Mark Gordon,male,1957-03-14T00:00:00Z,11,,Q6767775-b4723a46-6703-4749-ad6e-2719f52e4a26
